,train,val,test
0,K2302495-7 8#1_16,K2201770-5 6#12_12,B2343929-5#13_12
1,K2302139-7 8#6_27,B2341327-1#11_31,K2302013-9 10#1_28
2,K2301846-17 18#9_19,K2201770-11 12#12_13,K2302013-3 4#1_32
3,K2302536-1 2#1_7,K2201770-11 12#9_25,B2343929-3#13_10
4,K2302503-5 6#1_11,K2201770-1 2#12_10,K2301828-7 8#9_27
5,K2302100-3 4#1_26,"K2103031-1,2#14_25",K2302216-1 2#6_7
6,B2342006-1#13_1,K2203813-5 6#11_5,K2302216-7 8#6_3
7,K2302260-1 2#2_30,B2404461-1#13_21,K2302216-9 10#6_8
8,K2302661-5 6#4_9,K2201770-7 8#12_8,K2302216-3 4#6_6
9,K2302495-7 8#9_3,K2203813-11 12#11_2,K2302013-5 6#1_30
10,K2302215-5 6#6_11,K2203813-9 10#11_4,K2302216-11 12#6_4
11,K2302344-7 8#2_20,"K2103031-7,8#14_22",K2302013-7 8#1_29
12,K2301849-11 12#9_15,B2339536-1#11_24,K2301828-9 10#9_26
13,K2302503-9 10#1_9,K2203813-13 14#11_1,K2301828-3 4#9_29
14,K2301605-5 6#10_11,"K2103031-3,4#14_24",K2301828-5 6#9_28
15,K2302495-3 4#9_5,K2201770-3 4#9_33,K2102463#14_4
16,K2302139-1 2#6_30,K2201770-1 2#9_32,K2102463#14_8
17,B2342925-1#13_5,K2201770-3 4#12_9,K2302216-5 6#6_5
18,K2302461-13 14#1_20,K2302867-9 10#1_5,K2303640-3 4#4_23
19,K2302536-3 4#1_6,K2302867-3 4#1_2,K2302878-13 14#1_15
20,K2302614-21 #4_17,K2303014-19 20#2_2,K2302885-7 8#1_20
21,K2302661-7 8#4_10,K2303014-15 16#1_34,K2302878-9 10#1_13
22,K2300418-7 8#10_18,K2302867-7 8#1_4,B2343929-4#13_11
23,K2302495-9  #1_12,K2201770-9 10#9_23,K2302885-5 6#1_19
24,K2302495-9  #9_7,K2303014-17 18#2_1,K2303640-9 10#4_31
25,K2301846-15 16#9_18,"K2103031-5,6#14_23",K2302878-11 12#1_14
26,K2301896-17 18#9_10,K2201770-7 8#9_34,B2343929-1  2  3-HE#13_9
27,K2301905-5 6#9_8,K2303014-13 14#1_33,K2302878-7 8#1_12
28,"K2103669-9,10#14_6",K2201770-5 6#9_24,K2303640-5 6#4_33
29,B2346277-2#13_16,K2302867-5 6#1_3,K2303640-3 4#4_34
30,K2200642-3 4#12_22,K2302867-1 2#1_1,K2303640-7 8#4_21
31,K2302536-7 8#1_4,K2303014-11 12#1_32,K2303640-7 8#4_32
32,K2302105-17 18#7_1,K2201770-9 10#12_11,
33,K2302260-3 4#2_29,,
34,K2302495-3 4#1_14,,
35,K2302495-9 10#9_2,,
36,K2301849-9 10#9_16,,
37,B2347868-1#13_17,,
38,K2301605-3 4#10_13,,
39,K2302614-17 18#4_20,,
40,K2302639-3 4#4_16,,
41,K2302536-5 6#1_5,,
42,K2203437-15 16#11_17,,
43,K2301896-15 16#9_9,,
44,K2302536-9 10#1_3,,
45,K2302182-11 12#6_18,,
46,K2203698-7 8#11_9,,
47,K2301846-23 24#9_22,,
48,K2302366-7 8#2_13,,
49,K2302495-5 6#1_15,,
50,K2203437-17#11_16,,
51,K2301846-19 20#9_20,,
52,B2341317-1#11_30,,
53,K2201945-7 8#12_5,,
54,K2302139-3 4#6_29,,
55,K2201945-13 14#12_2,,
56,K2302388-19 20#2_2,,
57,K2301605-7 8#10_12,,
58,K2202988-3 4#11_33,,
59,K2202988-1 2#11_34,,
60,K2200642-5 6#12_21,,
61,K2302139-5 6#6_28,,
62,K2302661-3 4#4_8,,
63,K2302366-5 6#2_14,,
64,K2302494-9 10#1_18,,
65,K2200642-7 8#12_20,,
66,K2302536-13 14#1_1,,
67,K2301896-11 12#9_11,,
68,HZ234043-120  -HE#14_22,,
69,K2301846-25 26#9_23,,
70,K2302215-1 2#6_13,,
71,K2301849- 9#9_13,,
72,K2302247-11 12#2_31,,
73,K2202988-7 8#11_31,,
74,K2201945-11 12#12_3,,
75,K2302495-1 2#1_13,,
76,K2201945-3 4#12_7,,
77,B2337974-3#11_18,,
78,K2203698-11 12#11_11,,
79,K2302000-5 6#9_4,,
80,K2201945-5 6#12_6,,
81,K2302661-11 12#4_12,,
82,K2302182-19 20#6_14,,
83,K2302536-11 12#1_2,,
84,K2203698-13 14#11_12,,
85,K2302503-11 12#1_8,,
86,K2302182-15 16#6_16,,
87,K2302139-21 22#6_24,,
88,K2302614-21#4_18,,
89,K2302215-3 4#6_12,,
90,K2302105-7 8#7_6,,
91,K2301896-13 14#9_12,,
92,K2202988-9 10#11_30,,
93,K2300418-7 8#11_28,,
94,K2302105-13 14#7_3,,
95,K2302100-5 6#1_25,,
96,B2348252-1#13_18,,
97,K2301605-1 2#10_14,,
98,B2341994-1#11_33,,
99,K2203437-13 14#11_18,,
100,K2302503-7 8#1_10,,
101,K2302344-11 12#2_18,,
102,B2340214-3#11_28,,
103,K2302182-17 18#6_15,,
104,"K2103669-5,6#14_8",,
105,K2301846-21 22#9_21,,
106,K2302388-17 18#2_3,,
107,K2302495-5 6#9_4,,
108,K2302215-7 8#6_10,,
109,K2301905-7 8#9_7,,
110,K2203698-3 4#11_7,,
111,K2302388-15 16#2_4,,
112,K2301905-11 12#9_5,,
113,K2302100-7 8#1_24,,
114,K2302366-3 4#2_15,,
115,K2301846-29 30#9_24,,
116,K2302661-9 10#4_11,,
117,"K2103669-1,2#14_10",,
118,K2302260-7 8#2_27,,
119,K2302461-7 8#1_23,,
120,K2301846-27 28#9_25,,
121,K2302639-9 10#4_13,,
122,K2203698-5 6#11_8,,
123,K2302614-15 16#4_21,,
124,K2302105-9 10#7_5,,
125,"K2103669-3,4#14_9",,
126,K2302105-15 16#7_2,,
127,K2202988-5 6#11_32,,
128,B2345897-1#13_15,,
129,K2302388-21 22#2_1,,
130,K2302000-7 8#9_3,,
131,K2203698-9 10#11_10,,
132,K2301849-13 14#9_14,,
133,K2201945-9 10#12_4,,
134,B2318573-2 #11_17,,
135,K2302366-9 10#2_12,,
136,K2302100-1 2#1_27,,
137,K2201945-15 16#12_1,,
138,K2302495-1 2#9_6,,
139,K2302260-9 10#2_26,,
140,K2301605-9 10#10_10,,
141,K2302614-19 20#4_19,,
142,K2203698-1 2#11_6,,
143,K2302344-13 14#2_17,,
144,K2302639-7 8#4_14,,
145,K2302461-5 6#1_24,,
146,K2302639-5 6#4_15,,
147,K2300766-3 4#10_17,,
148,K2301905-9 10#9_6,,
149,K2303558-15 16#7_12,,
150,K2302680-9 10#4_1,,
151,K2303061-13 14#15_32,,
152,K2302879-7 8#1_17,,
153,K2303061-19#7_30,,
154,K2302983-21 22#2_5,,
155,K2303061-17 18#15_34,,
156,K2303061-19#2_11,,
157,K2303517-5 6#7_27,,
158,K2302879-9 10#1_18,,
159,"K2103911-5,6#9_31",,
160,K2302760-13 14#2_20,,
161,K2303552-13 14#6_32,,
162,K2303782-5 6#4_4,,
163,K2303429-3 4#9_12,,
164,K2302755-5 6#2_30,,
165,K2302983-19 20#2_4,,
166,K2303773-23 24#4_8,,
167,K2303264-13 14#10_12,,
168,K2303061-15 16#7_32,,
169,K2303061-11 12#7_34,,
170,K2303773-29 30#4_25,,
